# ExoFOP-TESS TOI snapshot, regenerated 2026-05-13 00:31 UTC
# Source: ExoFOP-TESS, NExScI/Caltech-IPAC
# Endpoint: https://exofop.ipac.caltech.edu/tess/download_toi.php?sort=toi&output=pipe
# Count: 7931 TOIs
# Columns: toi | tic | st_teff | st_logg | st_met (tab-separated)
# Used by sco-ldc as a fallback when the live ExoFOP fetch fails.
223.01	326453034	5063	4.48439	
224.01	70797900	3689	4.78104	
225.01	47525799	4658	4.53096	
226.01	47484268	3396	4.91468	
227.01	2760710	2808	5.20628	
228.01	77044471	5738	4.23836	
229.01	120610833	5100	4.4651	0.43
230.01	160074939	6467	4.16063	
231.01	204376737	5375	4.49371	-0.143
232.01	402026209	5436	4.46024	-0.01
233.01	415969908	3644	4.79912	
233.02	415969908	3644	4.79912	
234.01	12423815	3642	4.438	
235.01	280095254	5454.42	3.44247	-1.12905
236.01	9727392	6421.5	4.19	-0.31
237.01	305048087	3139	5.04944	
238.01	9006668	5024	4.5685	
239.01	9725627	6362.5	4.59	-0.2
240.01	101948569	4333	4.5109	
241.01	77031414	6286	4.438	
242.01	120585579	6083	4.28983	
243.01	149010208	6046	4.29639	
244.01	118327550	3342	4.438	
245.01	154618248	6208	4.438	
246.01	158623531	5070	4.47933	
247.01	160148385	5540	4.42136	
248.01	201793781	5711.7	3.84	0
249.01	179985715	4157	4.59257	
250.01	184240683	5700	4.39502	0.154118
251.01	224225541	5862	4.51783	
252.01	237924601	5071	4.48308	
253.01	322063810	4020	4.438	
254.01	49687222	6101	4.48196	
255.01	204317710	5700	4.39704	
256.01	92226327	3131	5.05701	
256.02	92226327	3131	5.05701	
257.01	200723869	6382.7	4.05	
258.01	350445771	6474.57	4.26363	-0.169551
259.01	12862099	5410	4.47919	
260.01	37749396	4111	4.6461	
261.01	63898957	5890.3	3.92	-0.35
261.02	63898957	5890.3	3.92	-0.35
262.01	70513361	5302.58	4.53515	0.263727
263.01	120916706	3116	5.06043	
264.01	122612091	6250	3.98811	-0.361602
265.01	159951311	5310	4.59604	
266.01	164767175	5784	4.438	
266.02	164767175	5784	4.438	
267.01	166836920	6180	4.11766	
268.01	219253008	5868	3.57327	
269.01	220479565	3607	4.438	
270.01	259377017	3551	4.83982	
270.02	259377017	3551	4.83982	
270.03	259377017	3551	4.83982	
271.01	259511357	6025	4.33135	
272.01	268766053	4953	4.55653	
273.01	279740441	4304.6	4.57	-0.15
274.01	281979481	5181	4.54631	
275.01	373844472	5616	4.3762	
276.01	382188882	6366	4.16217	
277.01	439456714	3748	4.7573	
278.01	244161191	2955	5.13527	
279.01	122613513	4140	4.46332	
280.01	42054565	5454	4.59104	
281.01	38696105	6002.18	4.12354	0.257514
282.01	29781292	6321	4.22436	
282.02	29781292	6321	4.22436	
282.03	29781292	6321	4.22436	
282.04	29781292	6321	4.22436	
283.01	382626661	5250	4.64176	
284.01	277103955	4779.8	4.57	
285.01	220459976	3891	4.64044	
286.01	150030205	5245	4.57666	
286.02	150030205	5245	4.57666	
287.01	2758565	5807	4.32	
288.01	47316976	6530	3.96	
289.01	201292545	5728	3.99	
290.01	201233610	5736	3.97	
291.01	49710555	5920	4.22	
292.01	180285396	4463	4.49	
293.01	355637190	5905	4.13	
294.01	188570092	4521	4.5	
295.01	327952677	5864	4.26	
296.01	382463648	5290	4.45	
297.01	115242351	4871	4.26	
298.01	206686292	6273	4.08	
299.01	156075294	5541	4.28	
300.01	166697854	5776.5	2.99	-1.09
301.01	144301052	6048	4.03	
302.01	229111835	4130	4.51	
303.01	145750719	5659	4.1	
304.01	262530873	6292	3.98	
305.01	102030574	5852	4.03	
306.01	114749636	5909	4.21	
307.01	9100874	5747	4.24	
308.01	281710229	4801.3		
309.01	228507250	5329		
310.01	175477257	5798	4.22	
311.01	434105231	4062.7	4.61	
312.01	180145006	5755	4.23	
313.01	9102327	5963	3.41	-1.3
314.01	316769613	4822	4.55	
315.01	66356824	5671	4.19	
316.01	8988289	4312	4.59	
317.01	402319411	5391	4.46	
318.01	206352378	4696	4.53	
319.01	389753172	4349.7	4.58	
320.01	188593930	5912.5	4.36	
321.01	175476629	5349.5	4.44	
322.01	198077394	5868.2		0.07
323.01	251852984	4558	4.52	
324.01	156002449	6113	4.29	
325.01	66413476	4391	4.36	
326.01	144336525	6316	3.75	-0.4
327.01	206669860	5960	4.23	
328.01	139357541	6074	4.33	
329.01	169765334	5560.5	4.01	-0.11
330.01	27966179	4314	4.57	
331.01	262531275	5608	3.94	
332.01	139285832	5190	4.42	
333.01	224245334	6150	4.4	
334.01	233964642	6090.2	4.11	
335.01	41865539	5875	4.36	-0.28
336.01	55452495	7859	4.12	
337.01	155986102	5446	4.43	
338.01	116156517	6561	4.1	
339.01	69838258	6048.2	4.28	
340.01	80439101	5829		
341.01	33911302	4775	4.38	
342.01	415969574	5800	4.38	
343.01	66497310	5885	4.31	
344.01	13023378	6149	4.44	
345.01	308208458	5136	4.47	
346.01	118327533	6177	4.25	
347.01	224271611	5692.2	4.1	-0.46
348.01	70785910	5879	4.11	
349.01	382474101	6054	4.29	
350.01	199731190	5635	4.41	
351.01	228381868	5570.3	3.93	0.22
352.01	47423120	5518	4.34	
353.01	100099031	4965		
354.01	100097716	5767	4.15	
355.01	183593642	6049	4.25	
356.01	369336146	5499	4.01	
357.01	220016044	6300.3	3.72	-0.22
358.01	321982642	5467	4.26	
359.01	80432617	5573	3.89	
360.01	13023738	5657	3.97	
361.01	144276942	4215	4.59	
362.01	305048116	5692	4.41	
363.01	262530780	5177	4.39	
364.01	47425697	6219.7		0.12
365.01	118586896	5808	4.23	
366.01	251878904	5504	4.21	
367.01	9033144	5756.9	3.9	-0.21
368.01	77031413	5444	4.48	
369.01	175482273			
370.01	251855940	5805	4.41	
371.01	156016136	5389	4.49	
372.01	441075486	5769.7	4.42	
373.01	9032368	5997	4.39	
374.01	183675732	5719	4.23	
375.01	280097543	5001.6		0
376.01	144301273	5317	4.34	
377.01	139285736	5039.5		
378.01	20892672	5894	4.32	
379.01	220396259	5825	4.04	-0.28
380.01	100014359	5227		
381.01	207084429	5883		
382.01	229091748	5777	4.35	
383.01	167418898	5951		-0.409232
384.01	155995204	5819	4.34	
385.01	300810086	5159		
386.01	238059180	8562	3.91	
387.01	92359850	6270	4.14	
388.01	422655579	6059	3.92334	0.37
389.01	271900960	6457.7	4.43	
390.01	250386181	6321.46	4.1984	-0.4916
391.01	382391899	5400	4.53926	0.13
392.01	328350926	5624.7		
393.01	29960109	3450	4.78	
394.01	9858404	6216.1	3.73	
395.01	38541473	5949.2		-0.232902
396.01	178155732	6308.31	4.438	
396.02	178155732	6308.31	4.438	
396.03	178155732	6308.31	4.438	
397.01	219379012	5973.5	3.89	-0.880207
398.01	1129033	5500	4.48298	0.07
399.01	219388773	4752.8	4.37	0.08
400.01	35857242	6272	4.25771	
401.01	259701242	5928	4.48	
402.01	120896927	5175.2	4.37657	0.06
402.02	120896927	5175.2	4.37657	0.06
403.01	257567854	6153	4.34152	0.26
404.01	166833457	5473	4.60845	
405.01	176984236	6249	4.28	
406.01	153065527	3349	4.94138	
406.02	153065527	3349	4.94138	
407.01	349518800	5830	4.26	
408.01	176778112	5600	4.43748	
409.01	167754523	4913.8	4.54	-0.09
410.01	206466531	6000.2	4.36	-0.16
411.01	100990000	6101	4.38774	
411.02	100990000	6101	4.38774	
412.01	7624182	8666	3.80083	
413.01	170634116	6600	4.20892	0.19
414.01	325680697	5773.74	3.51	0
415.01	152476657	6450	4.03776	
416.01	49899799	6084.8	4.01	
417.01	339733013	5834.2	4.24	0.0378755
418.01	178284730	5260	4.51363	
419.01	279251651	4119.1	4.73	
420.01	408159788	5747.3	4.57	
421.01	94986319	5718	4.35658	
421.02	94986319	5718	4.35658	
422.01	117979455	5999	4.22	
423.01	43647325	6072	4.41	-0.05
424.01	117979694	5059	4.61	
425.01	169532369	6896.7	4.17	-0.150289
426.01	189013224	5731	4.46	
427.01	70914192	5271.7	4.34	
428.01	117979850	5713	3.67	
429.01	259592689	5216	4.43	
430.01	459942762	5997.7		-0.45
431.01	31374837	4891	4.62	0.02
431.02	31374837	4891	4.62	0.02
432.01	38686737	6846	4.23	
433.01	188989177	8242	3.61	
434.01	78055054	5175	4.46488	
435.01	44647437	3978	4.438	
436.01	44745077	3549.7	4.87	
437.01	32499655	4860	4.438	
438.01	468880077	5210.8	4.58	0.149
439.01	13021029	6244.5	4.21	-0.123681
440.01	143350972	5759.2	4.45	0.0595743
441.01	316916655	6805	4.26	
442.01	70899085	3779	4.64	
443.01	117979897	6030	4.22	
444.01	179034327	5229	4.55429	
445.01	14091704	6307.9	3.97	-0.38
446.01	1449640	6383.9	4.03	
447.01	14091633	6350	4.34	
448.01	1528696	4669	4.52	
449.01	139528693	6291	3.9	-0.07
450.01	77951245	3054	4.438	
451.01	257605131	5481	4.56	
451.02	257605131	5481	4.56	
451.03	257605131	5481	4.56	
452.01	139733308	5258	4.51	
453.01	452808876	6441.6	3.91	0.152
454.01	153077621	3321	4.95373	
455.01	98796344	3562	4.97389	
456.01	77228304	5780	4.438	
457.01	89256802	3054	5.08962	
458.01	64071894	5164	4.5371	
459.01	38603673	6559.17	3.95184	-0.276187
460.01	9804616	3274	4.9794	
461.01	4646810	4884	4.49	-0.01
462.01	420049884	5205	4.45924	0.199
463.01	176831592	6497.8	4.17	0.1
464.01	398733009	31000	5.59998	
465.01	270380593	4910	4.60108	
466.01	4616072	6675	4.20094	
467.01	20178111	5890	4.48757	
468.01	33521996	3724	4.68255	
469.01	33692729	6114	4.5101	
470.01	37770169	5418	4.57259	
471.01	47911178	6400	4.34435	
