 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 3.50  4750. -5.0  2.0   0.4447
 3.50  4750. -5.0  2.0   0.0021
 4.00  4750. -5.0  2.0   0.7678
 4.00  4750. -5.0  2.0   0.3436
 4.00  4750. -5.0  2.0   0.0025
 4.50  4750. -5.0  2.0   0.8810
 4.50  4750. -5.0  2.0   0.2435
 4.50  4750. -5.0  2.0   0.0019
 0.00  5000. -5.0  2.0   0.6306
 0.00  5000. -5.0  2.0   0.6989
 0.00  5000. -5.0  2.0   0.0002
 0.50  5000. -5.0  2.0   0.6322
 0.50  5000. -5.0  2.0   0.6756
 0.50  5000. -5.0  2.0   0.0003
 1.00  5000. -5.0  2.0   0.6377
 1.00  5000. -5.0  2.0   0.6424
 1.00  5000. -5.0  2.0   0.0006
 1.50  5000. -5.0  2.0   0.6466
 1.50  5000. -5.0  2.0   0.6047
 1.50  5000. -5.0  2.0   0.0011
 2.00  5000. -5.0  2.0   0.6594
 2.00  5000. -5.0  2.0   0.5642
 2.00  5000. -5.0  2.0   0.0019
 2.50  5000. -5.0  2.0   0.6725
 2.50  5000. -5.0  2.0   0.5287
 2.50  5000. -5.0  2.0   0.0028
 3.00  5000. -5.0  2.0   0.6847
 3.00  5000. -5.0  2.0   0.4977
 3.00  5000. -5.0  2.0   0.0033
 3.50  5000. -5.0  2.0   0.6915
 3.50  5000. -5.0  2.0   0.4782
 3.50  5000. -5.0  2.0   0.0030
 4.00  5000. -5.0  2.0   0.6973
 4.00  5000. -5.0  2.0   0.4486
 4.00  5000. -5.0  2.0   0.0023
 4.50  5000. -5.0  2.0   0.7323
 4.50  5000. -5.0  2.0   0.3777
 4.50  5000. -5.0  2.0   0.0017
 5.00  5000. -5.0  2.0   0.7467
 5.00  5000. -5.0  2.0   0.3282
 5.00  5000. -5.0  2.0   0.0007
 0.00  5250. -5.0  2.0   0.6293
 0.00  5250. -5.0  2.0   0.6727
 0.00  5250. -5.0  2.0   0.0002
 0.50  5250. -5.0  2.0   0.6289
 0.50  5250. -5.0  2.0   0.6608
 0.50  5250. -5.0  2.0   0.0003
 1.00  5250. -5.0  2.0   0.6326
 1.00  5250. -5.0  2.0   0.6370
 1.00  5250. -5.0  2.0   0.0006
 1.50  5250. -5.0  2.0   0.6396
 1.50  5250. -5.0  2.0   0.6067
 1.50  5250. -5.0  2.0   0.0010
 2.00  5250. -5.0  2.0   0.6494
 2.00  5250. -5.0  2.0   0.5751
 2.00  5250. -5.0  2.0   0.0016
 2.50  5250. -5.0  2.0   0.6591
 2.50  5250. -5.0  2.0   0.5471
 2.50  5250. -5.0  2.0   0.0024
 3.00  5250. -5.0  2.0   0.6685
 3.00  5250. -5.0  2.0   0.5218
 3.00  5250. -5.0  2.0   0.0030
 3.50  5250. -5.0  2.0   0.6781
 3.50  5250. -5.0  2.0   0.4948
 3.50  5250. -5.0  2.0   0.0032
 4.00  5250. -5.0  2.0   0.6818
 4.00  5250. -5.0  2.0   0.4819
 4.00  5250. -5.0  2.0   0.0030
 4.50  5250. -5.0  2.0   0.6969
 4.50  5250. -5.0  2.0   0.4367
 4.50  5250. -5.0  2.0   0.0024
 5.00  5250. -5.0  2.0   0.7395
 5.00  5250. -5.0  2.0   0.3598
 5.00  5250. -5.0  2.0   0.0024
 0.00  5500. -5.0  2.0   0.6317
 0.00  5500. -5.0  2.0   0.6379
 0.00  5500. -5.0  2.0   0.0003
 0.50  5500. -5.0  2.0   0.6290
 0.50  5500. -5.0  2.0   0.6337
 0.50  5500. -5.0  2.0   0.0004
 1.00  5500. -5.0  2.0   0.6300
 1.00  5500. -5.0  2.0   0.6222
 1.00  5500. -5.0  2.0   0.0006
 1.50  5500. -5.0  2.0   0.6338
 1.50  5500. -5.0  2.0   0.6028
 1.50  5500. -5.0  2.0   0.0009
 2.00  5500. -5.0  2.0   0.6402
 2.00  5500. -5.0  2.0   0.5812
 2.00  5500. -5.0  2.0   0.0014
