 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 1.00  4500. -2.0  2.0   0.6870
 1.00  4500. -2.0  2.0   0.0003
 1.50  4500. -2.0  2.0   0.6762
 1.50  4500. -2.0  2.0   0.6633
 1.50  4500. -2.0  2.0   0.0009
 2.00  4500. -2.0  2.0   0.6865
 2.00  4500. -2.0  2.0   0.6501
 2.00  4500. -2.0  2.0   0.0017
 2.50  4500. -2.0  2.0   0.6930
 2.50  4500. -2.0  2.0   0.6452
 2.50  4500. -2.0  2.0   0.0022
 3.00  4500. -2.0  2.0   0.6973
 3.00  4500. -2.0  2.0   0.6415
 3.00  4500. -2.0  2.0   0.0025
 3.50  4500. -2.0  2.0   0.7017
 3.50  4500. -2.0  2.0   0.6259
 3.50  4500. -2.0  2.0   0.0027
 4.00  4500. -2.0  2.0   0.7049
 4.00  4500. -2.0  2.0   0.5779
 4.00  4500. -2.0  2.0   0.0017
 4.50  4500. -2.0  2.0   0.7303
 4.50  4500. -2.0  2.0   0.4904
 4.50  4500. -2.0  2.0   0.0018
 5.00  4500. -2.0  2.0   0.7428
 5.00  4500. -2.0  2.0   0.4130
 5.00  4500. -2.0  2.0   0.0008
 0.00  4750. -2.0  2.0   0.6351
 0.00  4750. -2.0  2.0   0.7244
 0.00  4750. -2.0  2.0   0.0002
 0.50  4750. -2.0  2.0   0.6385
 0.50  4750. -2.0  2.0   0.6969
 0.50  4750. -2.0  2.0   0.0002
 1.00  4750. -2.0  2.0   0.6459
 1.00  4750. -2.0  2.0   0.6635
 1.00  4750. -2.0  2.0   0.0003
 1.50  4750. -2.0  2.0   0.6572
 1.50  4750. -2.0  2.0   0.6308
 1.50  4750. -2.0  2.0   0.0006
 2.00  4750. -2.0  2.0   0.6704
 2.00  4750. -2.0  2.0   0.6032
 2.00  4750. -2.0  2.0   0.0012
 2.50  4750. -2.0  2.0   0.6818
 2.50  4750. -2.0  2.0   0.5872
 2.50  4750. -2.0  2.0   0.0019
 3.00  4750. -2.0  2.0   0.6898
 3.00  4750. -2.0  2.0   0.5782
 3.00  4750. -2.0  2.0   0.0024
 3.50  4750. -2.0  2.0   0.6968
 3.50  4750. -2.0  2.0   0.5677
 3.50  4750. -2.0  2.0   0.0028
 4.00  4750. -2.0  2.0   0.7058
 4.00  4750. -2.0  2.0   0.5483
 4.00  4750. -2.0  2.0   0.0034
 4.50  4750. -2.0  2.0   0.7136
 4.50  4750. -2.0  2.0   0.5058
 4.50  4750. -2.0  2.0   0.0026
 5.00  4750. -2.0  2.0   0.7328
 5.00  4750. -2.0  2.0   0.4445
 5.00  4750. -2.0  2.0   0.0023
 0.00  5000. -2.0  2.0   0.6311
 0.00  5000. -2.0  2.0   0.6994
 0.00  5000. -2.0  2.0   0.0002
 0.50  5000. -2.0  2.0   0.6321
 0.50  5000. -2.0  2.0   0.6788
 0.50  5000. -2.0  2.0   0.0002
 1.00  5000. -2.0  2.0   0.6363
 1.00  5000. -2.0  2.0   0.6514
 1.00  5000. -2.0  2.0   0.0003
 1.50  5000. -2.0  2.0   0.6444
 1.50  5000. -2.0  2.0   0.6197
 1.50  5000. -2.0  2.0   0.0005
 2.00  5000. -2.0  2.0   0.6543
 2.00  5000. -2.0  2.0   0.5898
 2.00  5000. -2.0  2.0   0.0010
 2.50  5000. -2.0  2.0   0.6633
 2.50  5000. -2.0  2.0   0.5689
 2.50  5000. -2.0  2.0   0.0014
 3.00  5000. -2.0  2.0   0.6710
 3.00  5000. -2.0  2.0   0.5538
 3.00  5000. -2.0  2.0   0.0018
 3.50  5000. -2.0  2.0   0.6783
 3.50  5000. -2.0  2.0   0.5394
 3.50  5000. -2.0  2.0   0.0020
 4.00  5000. -2.0  2.0   0.6874
 4.00  5000. -2.0  2.0   0.5198
 4.00  5000. -2.0  2.0   0.0022
 4.50  5000. -2.0  2.0   0.6932
 4.50  5000. -2.0  2.0   0.4922
 4.50  5000. -2.0  2.0   0.0019
 5.00  5000. -2.0  2.0   0.7036
 5.00  5000. -2.0  2.0   0.4511
 5.00  5000. -2.0  2.0   0.0016
 0.00  5250. -2.0  2.0   0.6297
 0.00  5250. -2.0  2.0   0.6700
 0.00  5250. -2.0  2.0   0.0002
 0.50  5250. -2.0  2.0   0.6293
 0.50  5250. -2.0  2.0   0.6586
 0.50  5250. -2.0  2.0   0.0002
 1.00  5250. -2.0  2.0   0.6321
 1.00  5250. -2.0  2.0   0.6381
 1.00  5250. -2.0  2.0   0.0003
 1.50  5250. -2.0  2.0   0.6374
 1.50  5250. -2.0  2.0   0.6136
 1.50  5250. -2.0  2.0   0.0005
 2.00  5250. -2.0  2.0   0.6440
 2.00  5250. -2.0  2.0   0.5883
 2.00  5250. -2.0  2.0   0.0008
 2.50  5250. -2.0  2.0   0.6508
 2.50  5250. -2.0  2.0   0.5668
 2.50  5250. -2.0  2.0   0.0013
 3.00  5250. -2.0  2.0   0.6564
 3.00  5250. -2.0  2.0   0.5500
 3.00  5250. -2.0  2.0   0.0017
 3.50  5250. -2.0  2.0   0.6613
 3.50  5250. -2.0  2.0   0.5356
 3.50  5250. -2.0  2.0   0.0019
 4.00  5250. -2.0  2.0   0.6675
 4.00  5250. -2.0  2.0   0.5169
 4.00  5250. -2.0  2.0   0.0019
 4.50  5250. -2.0  2.0   0.6731
 4.50  5250. -2.0  2.0   0.5046
 4.50  5250. -2.0  2.0   0.0021
 5.00  5250. -2.0  2.0   0.6862
 5.00  5250. -2.0  2.0   0.4586
 5.00  5250. -2.0  2.0   0.0020
 0.00  5500. -2.0  2.0   0.6327
 0.00  5500. -2.0  2.0   0.6327
 0.00  5500. -2.0  2.0   0.0002
 0.50  5500. -2.0  2.0   0.6294
 0.50  5500. -2.0  2.0   0.6313
 0.50  5500. -2.0  2.0   0.0003
 1.00  5500. -2.0  2.0   0.6306
 1.00  5500. -2.0  2.0   0.6206
 1.00  5500. -2.0  2.0   0.0003
 1.50  5500. -2.0  2.0   0.6331
 1.50  5500. -2.0  2.0   0.6043
 1.50  5500. -2.0  2.0   0.0005
 2.00  5500. -2.0  2.0   0.6369
 2.00  5500. -2.0  2.0   0.5860
 2.00  5500. -2.0  2.0   0.0007
 2.50  5500. -2.0  2.0   0.6420
 2.50  5500. -2.0  2.0   0.5677
 2.50  5500. -2.0  2.0   0.0011
 3.00  5500. -2.0  2.0   0.6457
 3.00  5500. -2.0  2.0   0.5545
 3.00  5500. -2.0  2.0   0.0016
 3.50  5500. -2.0  2.0   0.6515
 3.50  5500. -2.0  2.0   0.5372
 3.50  5500. -2.0  2.0   0.0022
 4.00  5500. -2.0  2.0   0.6557
 4.00  5500. -2.0  2.0   0.5207
 4.00  5500. -2.0  2.0   0.0023
 4.50  5500. -2.0  2.0   0.6618
 4.50  5500. -2.0  2.0   0.4972
 4.50  5500. -2.0  2.0   0.0022
 5.00  5500. -2.0  2.0   0.6716
 5.00  5500. -2.0  2.0   0.4661
 5.00  5500. -2.0  2.0   0.0021
 0.00  5750. -2.0  2.0   0.6124
 0.00  5750. -2.0  2.0   0.7276
 0.00  5750. -2.0  2.0   0.0005
 0.50  5750. -2.0  2.0   0.6260
 0.50  5750. -2.0  2.0   0.6206
 0.50  5750. -2.0  2.0   0.0002
 1.00  5750. -2.0  2.0   0.6310
 1.00  5750. -2.0  2.0   0.5969
 1.00  5750. -2.0  2.0   0.0004
 1.50  5750. -2.0  2.0   0.6303
 1.50  5750. -2.0  2.0   0.5920
 1.50  5750. -2.0  2.0   0.0005
 2.00  5750. -2.0  2.0   0.6322
 2.00  5750. -2.0  2.0   0.5792
 2.00  5750. -2.0  2.0   0.0007
 2.50  5750. -2.0  2.0   0.6345
 2.50  5750. -2.0  2.0   0.5680
 2.50  5750. -2.0  2.0   0.0010
 3.00  5750. -2.0  2.0   0.6389
 3.00  5750. -2.0  2.0   0.5549
 3.00  5750. -2.0  2.0   0.0017
 3.50  5750. -2.0  2.0   0.6421
 3.50  5750. -2.0  2.0   0.5409
 3.50  5750. -2.0  2.0   0.0022
 4.00  5750. -2.0  2.0   0.6405
 4.00  5750. -2.0  2.0   0.5376
 4.00  5750. -2.0  2.0   0.0021
 4.50  5750. -2.0  2.0   0.6486
 4.50  5750. -2.0  2.0   0.5104
 4.50  5750. -2.0  2.0   0.0024
 5.00  5750. -2.0  2.0   0.6559
 5.00  5750. -2.0  2.0   0.4832
 5.00  5750. -2.0  2.0   0.0023
 0.00  6000. -2.0  2.0   0.6144
 0.00  6000. -2.0  2.0   0.7457
 0.00  6000. -2.0  2.0   0.0002
 0.50  6000. -2.0  2.0   0.6058
 0.50  6000. -2.0  2.0   0.7185
 0.50  6000. -2.0  2.0   0.0004
 1.00  6000. -2.0  2.0   0.6249
 1.00  6000. -2.0  2.0   0.5916
 1.00  6000. -2.0  2.0   0.0003
 1.50  6000. -2.0  2.0   0.6308
 1.50  6000. -2.0  2.0   0.5710
 1.50  6000. -2.0  2.0   0.0006
 2.00  6000. -2.0  2.0   0.6294
 2.00  6000. -2.0  2.0   0.5677
 2.00  6000. -2.0  2.0   0.0007
 2.50  6000. -2.0  2.0   0.6292
 2.50  6000. -2.0  2.0   0.5616
 2.50  6000. -2.0  2.0   0.0010
 3.00  6000. -2.0  2.0   0.6289
 3.00  6000. -2.0  2.0   0.5586
 3.00  6000. -2.0  2.0   0.0014
 3.50  6000. -2.0  2.0   0.6294
 3.50  6000. -2.0  2.0   0.5523
 3.50  6000. -2.0  2.0   0.0018
 4.00  6000. -2.0  2.0   0.6332
 4.00  6000. -2.0  2.0   0.5387
 4.00  6000. -2.0  2.0   0.0024
 4.50  6000. -2.0  2.0   0.6331
 4.50  6000. -2.0  2.0   0.5297
 4.50  6000. -2.0  2.0   0.0022
 5.00  6000. -2.0  2.0   0.6427
 5.00  6000. -2.0  2.0   0.4988
 5.00  6000. -2.0  2.0   0.0025
 0.50  6250. -2.0  2.0   0.6101
 0.50  6250. -2.0  2.0   0.7261
 0.50  6250. -2.0  2.0   0.0001
 1.00  6250. -2.0  2.0   0.6044
 1.00  6250. -2.0  2.0   0.6843
 1.00  6250. -2.0  2.0   0.0002
 1.50  6250. -2.0  2.0   0.6233
 1.50  6250. -2.0  2.0   0.5695
 1.50  6250. -2.0  2.0   0.0004
 2.00  6250. -2.0  2.0   0.6281
 2.00  6250. -2.0  2.0   0.5515
 2.00  6250. -2.0  2.0   0.0009
 2.50  6250. -2.0  2.0   0.6245
 2.50  6250. -2.0  2.0   0.5545
 2.50  6250. -2.0  2.0   0.0011
 3.00  6250. -2.0  2.0   0.6232
 3.00  6250. -2.0  2.0   0.5526
 3.00  6250. -2.0  2.0   0.0014
 3.50  6250. -2.0  2.0   0.6234
 3.50  6250. -2.0  2.0   0.5499
 3.50  6250. -2.0  2.0   0.0021
 4.00  6250. -2.0  2.0   0.6236
 4.00  6250. -2.0  2.0   0.5436
 4.00  6250. -2.0  2.0   0.0024
 4.50  6250. -2.0  2.0   0.6248
 4.50  6250. -2.0  2.0   0.5349
 4.50  6250. -2.0  2.0   0.0025
 5.00  6250. -2.0  2.0   0.6296
 5.00  6250. -2.0  2.0   0.5137
 5.00  6250. -2.0  2.0   0.0026
 0.50  6500. -2.0  2.0   0.6161
 0.50  6500. -2.0  2.0   0.7196
 0.50  6500. -2.0  2.0   0.0001
 1.00  6500. -2.0  2.0   0.6062
 1.00  6500. -2.0  2.0   0.7039
 1.00  6500. -2.0  2.0   0.0000
 1.50  6500. -2.0  2.0   0.5965
 1.50  6500. -2.0  2.0   0.6671
 1.50  6500. -2.0  2.0   0.0002
 2.00  6500. -2.0  2.0   0.6208
 2.00  6500. -2.0  2.0   0.5408
 2.00  6500. -2.0  2.0   0.0006
 2.50  6500. -2.0  2.0   0.6242
 2.50  6500. -2.0  2.0   0.5341
 2.50  6500. -2.0  2.0   0.0013
 3.00  6500. -2.0  2.0   0.6198
 3.00  6500. -2.0  2.0   0.5405
 3.00  6500. -2.0  2.0   0.0015
 3.50  6500. -2.0  2.0   0.6163
 3.50  6500. -2.0  2.0   0.5456
 3.50  6500. -2.0  2.0   0.0018
 4.00  6500. -2.0  2.0   0.6144
 4.00  6500. -2.0  2.0   0.5453
 4.00  6500. -2.0  2.0   0.0021
 4.50  6500. -2.0  2.0   0.6155
 4.50  6500. -2.0  2.0   0.5399
 4.50  6500. -2.0  2.0   0.0026
 5.00  6500. -2.0  2.0   0.6181
 5.00  6500. -2.0  2.0   0.5257
 5.00  6500. -2.0  2.0   0.0027
 0.50  6750. -2.0  2.0   0.6246
 0.50  6750. -2.0  2.0   0.6908
 0.50  6750. -2.0  2.0   0.0002
 1.00  6750. -2.0  2.0   0.6112
 1.00  6750. -2.0  2.0   0.6964
 1.00  6750. -2.0  2.0   0.0002
 1.50  6750. -2.0  2.0   0.6012
 1.50  6750. -2.0  2.0   0.6796
 1.50  6750. -2.0  2.0   0.0001
 2.00  6750. -2.0  2.0   0.5964
 2.00  6750. -2.0  2.0   0.6241
 2.00  6750. -2.0  2.0   0.0001
 2.50  6750. -2.0  2.0   0.6180
 2.50  6750. -2.0  2.0   0.5244
 2.50  6750. -2.0  2.0   0.0009
 3.00  6750. -2.0  2.0   0.6194
 3.00  6750. -2.0  2.0   0.5247
 3.00  6750. -2.0  2.0   0.0020
 3.50  6750. -2.0  2.0   0.6133
 3.50  6750. -2.0  2.0   0.5334
 3.50  6750. -2.0  2.0   0.0019
 4.00  6750. -2.0  2.0   0.6097
 4.00  6750. -2.0  2.0   0.5379
 4.00  6750. -2.0  2.0   0.0021
 4.50  6750. -2.0  2.0   0.6075
 4.50  6750. -2.0  2.0   0.5391
 4.50  6750. -2.0  2.0   0.0023
 5.00  6750. -2.0  2.0   0.6095
 5.00  6750. -2.0  2.0   0.5301
 5.00  6750. -2.0  2.0   0.0028
 0.50  7000. -2.0  2.0   0.6367
 0.50  7000. -2.0  2.0   0.6502
 0.50  7000. -2.0  2.0   0.0003
 1.00  7000. -2.0  2.0   0.6185
 1.00  7000. -2.0  2.0   0.6648
 1.00  7000. -2.0  2.0   0.0002
 1.50  7000. -2.0  2.0   0.6045
 1.50  7000. -2.0  2.0   0.6732
 1.50  7000. -2.0  2.0   0.0003
 2.00  7000. -2.0  2.0   0.5949
 2.00  7000. -2.0  2.0   0.6538
 2.00  7000. -2.0  2.0   0.0002
 2.50  7000. -2.0  2.0   0.5921
 2.50  7000. -2.0  2.0   0.5969
 2.50  7000. -2.0  2.0   0.0002
 3.00  7000. -2.0  2.0   0.6168
 3.00  7000. -2.0  2.0   0.5085
 3.00  7000. -2.0  2.0   0.0016
 3.50  7000. -2.0  2.0   0.6129
 3.50  7000. -2.0  2.0   0.5173
 3.50  7000. -2.0  2.0   0.0023
 4.00  7000. -2.0  2.0   0.6086
 4.00  7000. -2.0  2.0   0.5231
 4.00  7000. -2.0  2.0   0.0025
 4.50  7000. -2.0  2.0   0.6042
 4.50  7000. -2.0  2.0   0.5314
 4.50  7000. -2.0  2.0   0.0027
 5.00  7000. -2.0  2.0   0.6029
 5.00  7000. -2.0  2.0   0.5292
 5.00  7000. -2.0  2.0   0.0028
 0.50  7250. -2.0  2.0   0.6485
 0.50  7250. -2.0  2.0   0.6087
 0.50  7250. -2.0  2.0   0.0005
 1.00  7250. -2.0  2.0   0.6303
 1.00  7250. -2.0  2.0   0.6171
 1.00  7250. -2.0  2.0   0.0004
 1.50  7250. -2.0  2.0   0.6110
 1.50  7250. -2.0  2.0   0.6366
 1.50  7250. -2.0  2.0   0.0004
 2.00  7250. -2.0  2.0   0.5973
 2.00  7250. -2.0  2.0   0.6474
 2.00  7250. -2.0  2.0   0.0005
 2.50  7250. -2.0  2.0   0.5903
 2.50  7250. -2.0  2.0   0.6220
 2.50  7250. -2.0  2.0   0.0004
 3.00  7250. -2.0  2.0   0.5951
 3.00  7250. -2.0  2.0   0.5518
 3.00  7250. -2.0  2.0   0.0005
 3.50  7250. -2.0  2.0   0.6151
 3.50  7250. -2.0  2.0   0.4910
 3.50  7250. -2.0  2.0   0.0020
 4.00  7250. -2.0  2.0   0.6095
 4.00  7250. -2.0  2.0   0.5037
 4.00  7250. -2.0  2.0   0.0027
 4.50  7250. -2.0  2.0   0.6039
 4.50  7250. -2.0  2.0   0.5144
 4.50  7250. -2.0  2.0   0.0029
 5.00  7250. -2.0  2.0   0.6004
 5.00  7250. -2.0  2.0   0.5185
 5.00  7250. -2.0  2.0   0.0031
 0.50  7500. -2.0  2.0   0.6555
 0.50  7500. -2.0  2.0   0.5814
 0.50  7500. -2.0  2.0   0.0006
 1.00  7500. -2.0  2.0   0.6394
 1.00  7500. -2.0  2.0   0.5784
 1.00  7500. -2.0  2.0   0.0004
 1.50  7500. -2.0  2.0   0.6194
 1.50  7500. -2.0  2.0   0.5937
 1.50  7500. -2.0  2.0   0.0004
 2.00  7500. -2.0  2.0   0.6003
 2.00  7500. -2.0  2.0   0.6165
 2.00  7500. -2.0  2.0   0.0004
 2.50  7500. -2.0  2.0   0.5885
 2.50  7500. -2.0  2.0   0.6265
 2.50  7500. -2.0  2.0   0.0007
 3.00  7500. -2.0  2.0   0.5861
 3.00  7500. -2.0  2.0   0.5914
 3.00  7500. -2.0  2.0   0.0006
 3.50  7500. -2.0  2.0   0.6016
 3.50  7500. -2.0  2.0   0.5103
 3.50  7500. -2.0  2.0   0.0013
 4.00  7500. -2.0  2.0   0.6090
 4.00  7500. -2.0  2.0   0.4874
 4.00  7500. -2.0  2.0   0.0025
 4.50  7500. -2.0  2.0   0.6033
 4.50  7500. -2.0  2.0   0.4982
 4.50  7500. -2.0  2.0   0.0029
 5.00  7500. -2.0  2.0   0.5989
 5.00  7500. -2.0  2.0   0.5051
 5.00  7500. -2.0  2.0   0.0031
 1.00  7750. -2.0  2.0   0.6456
 1.00  7750. -2.0  2.0   0.5486
 1.00  7750. -2.0  2.0   0.0004
 1.50  7750. -2.0  2.0   0.6265
 1.50  7750. -2.0  2.0   0.5554
 1.50  7750. -2.0  2.0   0.0004
 2.00  7750. -2.0  2.0   0.6063
 2.00  7750. -2.0  2.0   0.5752
 2.00  7750. -2.0  2.0   0.0004
 2.50  7750. -2.0  2.0   0.5887
 2.50  7750. -2.0  2.0   0.5984
 2.50  7750. -2.0  2.0   0.0004
 3.00  7750. -2.0  2.0   0.5810
 3.00  7750. -2.0  2.0   0.6024
 3.00  7750. -2.0  2.0   0.0008
 3.50  7750. -2.0  2.0   0.5855
 3.50  7750. -2.0  2.0   0.5530
 3.50  7750. -2.0  2.0   0.0009
 4.00  7750. -2.0  2.0   0.6066
 4.00  7750. -2.0  2.0   0.4758
 4.00  7750. -2.0  2.0   0.0019
 4.50  7750. -2.0  2.0   0.6020
 4.50  7750. -2.0  2.0   0.4838
 4.50  7750. -2.0  2.0   0.0028
 5.00  7750. -2.0  2.0   0.5973
 5.00  7750. -2.0  2.0   0.4905
 5.00  7750. -2.0  2.0   0.0030
 1.00  8000. -2.0  2.0   0.6489
 1.00  8000. -2.0  2.0   0.5287
 1.00  8000. -2.0  2.0   0.0003
 1.50  8000. -2.0  2.0   0.6317
 1.50  8000. -2.0  2.0   0.5241
 1.50  8000. -2.0  2.0   0.0003
 2.00  8000. -2.0  2.0   0.6110
 2.00  8000. -2.0  2.0   0.5392
 2.00  8000. -2.0  2.0   0.0003
 2.50  8000. -2.0  2.0   0.5924
 2.50  8000. -2.0  2.0   0.5606
 2.50  8000. -2.0  2.0   0.0004
 3.00  8000. -2.0  2.0   0.5771
 3.00  8000. -2.0  2.0   0.5841
 3.00  8000. -2.0  2.0   0.0005
 3.50  8000. -2.0  2.0   0.5749
 3.50  8000. -2.0  2.0   0.5779
 3.50  8000. -2.0  2.0   0.0010
 4.00  8000. -2.0  2.0   0.5882
 4.00  8000. -2.0  2.0   0.5125
 4.00  8000. -2.0  2.0   0.0014
 4.50  8000. -2.0  2.0   0.6046
 4.50  8000. -2.0  2.0   0.4570
 4.50  8000. -2.0  2.0   0.0022
 5.00  8000. -2.0  2.0   0.5984
 5.00  8000. -2.0  2.0   0.4718
 5.00  8000. -2.0  2.0   0.0029
 1.50  8250. -2.0  2.0   0.6340
 1.50  8250. -2.0  2.0   0.5032
 1.50  8250. -2.0  2.0   0.0002
 2.00  8250. -2.0  2.0   0.6144
 2.00  8250. -2.0  2.0   0.5091
 2.00  8250. -2.0  2.0   0.0003
 2.50  8250. -2.0  2.0   0.5955
 2.50  8250. -2.0  2.0   0.5263
 2.50  8250. -2.0  2.0   0.0003
 3.00  8250. -2.0  2.0   0.5790
 3.00  8250. -2.0  2.0   0.5489
 3.00  8250. -2.0  2.0   0.0004
 3.50  8250. -2.0  2.0   0.5665
 3.50  8250. -2.0  2.0   0.5708
 3.50  8250. -2.0  2.0   0.0005
 4.00  8250. -2.0  2.0   0.5715
 4.00  8250. -2.0  2.0   0.5503
 4.00  8250. -2.0  2.0   0.0012
 4.50  8250. -2.0  2.0   0.5929
 4.50  8250. -2.0  2.0   0.4756
 4.50  8250. -2.0  2.0   0.0020
 5.00  8250. -2.0  2.0   0.6028
 5.00  8250. -2.0  2.0   0.4423
 5.00  8250. -2.0  2.0   0.0023
 1.50  8500. -2.0  2.0   0.6332
 1.50  8500. -2.0  2.0   0.4909
 1.50  8500. -2.0  2.0   0.0001
 2.00  8500. -2.0  2.0   0.6141
 2.00  8500. -2.0  2.0   0.4893
 2.00  8500. -2.0  2.0   0.0002
 2.50  8500. -2.0  2.0   0.5954
 2.50  8500. -2.0  2.0   0.5012
 2.50  8500. -2.0  2.0   0.0002
 3.00  8500. -2.0  2.0   0.5795
 3.00  8500. -2.0  2.0   0.5197
 3.00  8500. -2.0  2.0   0.0003
 3.50  8500. -2.0  2.0   0.5665
 3.50  8500. -2.0  2.0   0.5403
 3.50  8500. -2.0  2.0   0.0004
 4.00  8500. -2.0  2.0   0.5580
 4.00  8500. -2.0  2.0   0.5574
 4.00  8500. -2.0  2.0   0.0006
 4.50  8500. -2.0  2.0   0.5718
 4.50  8500. -2.0  2.0   0.5157
 4.50  8500. -2.0  2.0   0.0015
 5.00  8500. -2.0  2.0   0.5947
 5.00  8500. -2.0  2.0   0.4511
 5.00  8500. -2.0  2.0   0.0025
 2.00  8750. -2.0  2.0   0.6113
 2.00  8750. -2.0  2.0   0.4770
 2.00  8750. -2.0  2.0   0.0001
 2.50  8750. -2.0  2.0   0.5923
 2.50  8750. -2.0  2.0   0.4840
 2.50  8750. -2.0  2.0   0.0001
 3.00  8750. -2.0  2.0   0.5775
 3.00  8750. -2.0  2.0   0.4972
 3.00  8750. -2.0  2.0   0.0002
 3.50  8750. -2.0  2.0   0.5654
 3.50  8750. -2.0  2.0   0.5146
 3.50  8750. -2.0  2.0   0.0003
 4.00  8750. -2.0  2.0   0.5553
 4.00  8750. -2.0  2.0   0.5327
 4.00  8750. -2.0  2.0   0.0004
 4.50  8750. -2.0  2.0   0.5533
 4.50  8750. -2.0  2.0   0.5384
 4.50  8750. -2.0  2.0   0.0008
 5.00  8750. -2.0  2.0   0.5757
 5.00  8750. -2.0  2.0   0.4796
 5.00  8750. -2.0  2.0   0.0019
 2.00  9000. -2.0  2.0   0.6067
 2.00  9000. -2.0  2.0   0.4728
 2.00  9000. -2.0  2.0   0.0000
 2.50  9000. -2.0  2.0   0.5862
 2.50  9000. -2.0  2.0   0.4762
 2.50  9000. -2.0  2.0   0.0001
 3.00  9000. -2.0  2.0   0.5706
 3.00  9000. -2.0  2.0   0.4867
 3.00  9000. -2.0  2.0   0.0001
 3.50  9000. -2.0  2.0   0.5601
 3.50  9000. -2.0  2.0   0.4992
 3.50  9000. -2.0  2.0   0.0002
 4.00  9000. -2.0  2.0   0.5516
 4.00  9000. -2.0  2.0   0.5140
 4.00  9000. -2.0  2.0   0.0002
 4.50  9000. -2.0  2.0   0.5430
 4.50  9000. -2.0  2.0   0.5314
 4.50  9000. -2.0  2.0   0.0003
 5.00  9000. -2.0  2.0   0.5346
 5.00  9000. -2.0  2.0   0.5486
 5.00  9000. -2.0  2.0   0.0003
 2.00  9250. -2.0  2.0   0.6050
 2.00  9250. -2.0  2.0   0.4661
 2.00  9250. -2.0  2.0   0.0000
 2.50  9250. -2.0  2.0   0.5818
 2.50  9250. -2.0  2.0   0.4684
 2.50  9250. -2.0  2.0   0.0000
 3.00  9250. -2.0  2.0   0.5651
 3.00  9250. -2.0  2.0   0.4761
 3.00  9250. -2.0  2.0   0.0001
 3.50  9250. -2.0  2.0   0.5543
 3.50  9250. -2.0  2.0   0.4861
 3.50  9250. -2.0  2.0   0.0001
 4.00  9250. -2.0  2.0   0.5476
 4.00  9250. -2.0  2.0   0.4965
 4.00  9250. -2.0  2.0   0.0002
 4.50  9250. -2.0  2.0   0.5412
 4.50  9250. -2.0  2.0   0.5095
 4.50  9250. -2.0  2.0   0.0002
 5.00  9250. -2.0  2.0   0.5334
 5.00  9250. -2.0  2.0   0.5247
 5.00  9250. -2.0  2.0   0.0003
 2.00  9500. -2.0  2.0   0.6039
 2.00  9500. -2.0  2.0   0.4605
 2.00  9500. -2.0  2.0   0.0000
 2.50  9500. -2.0  2.0   0.5787
 2.50  9500. -2.0  2.0   0.4615
 2.50  9500. -2.0  2.0   0.0000
 3.00  9500. -2.0  2.0   0.5602
 3.00  9500. -2.0  2.0   0.4684
 3.00  9500. -2.0  2.0   0.0001
 3.50  9500. -2.0  2.0   0.5485
 3.50  9500. -2.0  2.0   0.4767
 3.50  9500. -2.0  2.0   0.0001
 4.00  9500. -2.0  2.0   0.5421
 4.00  9500. -2.0  2.0   0.4843
 4.00  9500. -2.0  2.0   0.0001
 4.50  9500. -2.0  2.0   0.5376
 4.50  9500. -2.0  2.0   0.4930
 4.50  9500. -2.0  2.0   0.0002
 5.00  9500. -2.0  2.0   0.5317
 5.00  9500. -2.0  2.0   0.5046
 5.00  9500. -2.0  2.0   0.0002
 2.00  9750. -2.0  2.0   0.6035
 2.00  9750. -2.0  2.0   0.4552
 2.00  9750. -2.0  2.0   0.0000
 2.50  9750. -2.0  2.0   0.5765
 2.50  9750. -2.0  2.0   0.4552
 2.50  9750. -2.0  2.0   0.0000
 3.00  9750. -2.0  2.0   0.5562
 3.00  9750. -2.0  2.0   0.4617
 3.00  9750. -2.0  2.0   0.0001
 3.50  9750. -2.0  2.0   0.5434
 3.50  9750. -2.0  2.0   0.4690
 3.50  9750. -2.0  2.0   0.0001
 4.00  9750. -2.0  2.0   0.5364
 4.00  9750. -2.0  2.0   0.4753
 4.00  9750. -2.0  2.0   0.0001
 4.50  9750. -2.0  2.0   0.5328
 4.50  9750. -2.0  2.0   0.4806
 4.50  9750. -2.0  2.0   0.0002
 5.00  9750. -2.0  2.0   0.5289
 5.00  9750. -2.0  2.0   0.4883
 5.00  9750. -2.0  2.0   0.0002
 2.00 10000. -2.0  2.0   0.6038
 2.00 10000. -2.0  2.0   0.4495
 2.00 10000. -2.0  2.0   0.0000
 2.50 10000. -2.0  2.0   0.5749
 2.50 10000. -2.0  2.0   0.4491
 2.50 10000. -2.0  2.0   0.0000
 3.00 10000. -2.0  2.0   0.5528
 3.00 10000. -2.0  2.0   0.4561
 3.00 10000. -2.0  2.0   0.0001
 3.50 10000. -2.0  2.0   0.5390
 3.50 10000. -2.0  2.0   0.4629
 3.50 10000. -2.0  2.0   0.0001
 4.00 10000. -2.0  2.0   0.5313
 4.00 10000. -2.0  2.0   0.4685
 4.00 10000. -2.0  2.0   0.0001
 4.50 10000. -2.0  2.0   0.5277
 4.50 10000. -2.0  2.0   0.4717
 4.50 10000. -2.0  2.0   0.0001
 5.00 10000. -2.0  2.0   0.5251
 5.00 10000. -2.0  2.0   0.4759
 5.00 10000. -2.0  2.0   0.0002
 2.00 10500. -2.0  2.0   0.6046
