 0.00  2300.  0.0  2.0   0.96069977   0.98718391   1.02015437   0.93851908   0.89302074   1.00968898   0.90313860   0.93485105   0.99879588   1.11148600   0.94950721   0.82759273   1.30238042   1.61095417   1.53236918   1.54721577   1.39054115   1.66096421   1.36805885   1.14725719   1.00937438   0.51454822   0.74477269   0.66249793   0.32096723   0.32096723   0.30300530   0.30300530   0.37110954   0.30300530   0.30300530   0.30300530   0.30781994   0.34283100   0.33262892   0.33262892   0.03779626   0.00425759   0.02943549   0.00418498   0.00890965   0.01278739   0.01555211   0.00241232   0.00834061   0.16196381   0.01697554   0.00887429
 0.50  2300.  0.0  2.0   0.96569208   1.00360037   1.00218860   0.91472008   1.00766834   1.01542007   0.87029355   0.90537489   0.98883817   1.07998015   0.91803127   0.84321519   1.08428584   1.33949146   1.59325674   1.61331381   1.11919194   1.58716384   1.38011382   1.20397621   1.02394608   0.47310740   0.76551104   0.65514397   0.25990324   0.25990324   0.24973742   0.24973742   0.25990324   0.24973742   0.24973742   0.24973742   0.24973742   0.27882220   0.26881333   0.26428837   0.01671394   0.01440707   0.00504597   0.00500531   0.04034194   0.01509357   0.01847518   0.00115292   0.00193544   0.10155362   0.00398342   0.02126134
 1.00  2300.  0.0  2.0   0.95044724   1.00548433   0.98948802   0.89681995   1.00182974   1.00476617   0.84884751   0.88067828   0.95262894   1.01395910   0.87760571   0.78116444   1.14843665   1.34275168   1.63634118   1.57006573   1.18328264   1.67398659   1.31736552   1.22706003   1.09524488   0.50711875   0.76550364   0.67212577   0.21163509   0.20530730   0.20530730   0.20530730   0.20530730   0.20530730   0.20530730   0.20530730   0.20839378   0.23037840   0.22028731   0.21851231   0.02410961   0.01465404   0.00319216   0.02313553   0.03993171   0.01277524   0.02646790   0.00829071   0.00132688   0.05116343   0.00379685   0.00904695
 1.50  2300.  0.0  2.0   0.95054796   0.99776594   0.99861415   0.92396630   0.99640360   1.01034154   0.86969280   0.89999718   0.96852369   0.98253735   0.85051131   0.86800024   1.08889960   1.19529577   1.48837376   1.49721757   1.09904836   1.43198883   1.33654783   1.13218605   0.96214398   0.45371950   0.54526544   0.39858991   0.16342057   0.16604764   0.15728610   0.15728610   0.15844610   0.15728610   0.15844610   0.15844610   0.15844610   0.17613453   0.17010161   0.16604764   0.02398542   0.01249320   0.00230484   0.00579442   0.02314304   0.01009982   0.01430665   0.00148808   0.00049352   0.04405729   0.01062023   0.03133036
 2.00  2300.  0.0  2.0   0.97235385   1.03336492   0.98969654   0.97495729   1.00404355   1.01116543   0.93886135   0.95322858   1.01675172   0.97746309   0.90827958   0.82077945   0.88822179   0.91153399   1.16003382   1.10377163   0.89047258   1.09828043   1.07743197   0.85342979   0.71033995   0.34205487   0.32156217   0.28778187   0.14661793   0.14075578   0.14661793   0.13413314   0.14661793   0.14075578   0.13413314   0.13413314   0.13413314   0.15301214   0.14780793   0.14661793   0.02077512   0.01300619   0.00094894   0.00086721   0.01884452   0.00572692   0.00067107   0.00030673   0.00382763   0.07911022   0.05449143   0.05177084
 2.50  2300.  0.0  2.0   0.97976479   1.03532126   1.01047939   0.96924774   1.01633979   1.02533667   0.92591804   0.94414715   1.00546917   0.97902808   0.89452370   0.80645061   0.82016268   0.83158120   1.07932654   1.07043843   0.80275301   1.00172763   1.06320296   0.82490580   0.68571488   0.31637884   0.30601345   0.27558749   0.11906990   0.11811490   0.11258113   0.11258113   0.11811490   0.11258113   0.11258113   0.11258113   0.11258113   0.12612082   0.12295558   0.12198058   0.01644651   0.01329498   0.00075999   0.00196275   0.01246172   0.00524027   0.00115395   0.00124744   0.00447529   0.08468512   0.05817371   0.05634546
 3.00  2300.  0.0  2.0   0.97755512   1.03817251   1.00401230   0.95172395   1.02031109   1.02130467   0.89777609   0.92065060   0.98093575   1.02819057   0.97500716   0.93057455   0.83751997   0.81078978   1.14451393   1.13985589   0.81426108   1.02541717   1.13205996   0.86720837   0.72891008   0.30297190   0.28582638   0.24369414   0.08795324   0.08462222   0.08462222   0.08462222   0.08462222   0.08462222   0.08462222   0.08462222   0.08462222   0.09296993   0.09005517   0.08864474   0.02416649   0.01751209   0.01538293   0.00935794   0.01918313   0.01365845   0.00225431   0.00173014   0.00422882   0.09764371   0.06856454   0.07845161
 3.50  2300.  0.0  2.0   0.98077291   1.02317272   0.96551945   0.89750773   1.01493833   1.00568867   0.84085548   0.87278939   0.94546695   1.08273423   1.02130042   0.93753888   0.92430708   0.84184282   1.26445879   1.22137041   0.92363604   1.09361051   1.18003089   0.91302708   0.77885462   0.30206185   0.28933550   0.25967437   0.06641247   0.06788727   0.06788727   0.06788727   0.06345933   0.06788727   0.06788727   0.06788727   0.06788727   0.07103822   0.06890912   0.06890912   0.03700480   0.03260813   0.01588505   0.00264960   0.03548335   0.02632988   0.00695493   0.00518555   0.00781112   0.11046267   0.07281638   0.09040769
 4.00  2300.  0.0  2.0   0.98287016   1.00545420   0.91947919   0.86347388   1.00264799   0.97547626   0.80310652   0.83715988   0.93064970   1.14348386   1.04221519   1.00475800   1.07406665   0.89659548   1.36096033   1.22161852   1.10102562   1.17833861   1.19896851   0.94731737   0.80024630   0.30542442   0.30527760   0.26152484   0.04836071   0.05308486   0.05158157   0.05158157   0.04836071   0.05158157   0.05158157   0.05158157   0.05158157   0.05194557   0.05158157   0.05052115   0.04966577   0.04254146   0.01236479   0.00214264   0.04455138   0.03407524   0.00837520   0.00108195   0.00803820   0.11737811   0.07833421   0.09696784
 4.50  2300.  0.0  2.0   0.98062915   0.99462851   0.91479182   0.84792699   0.98787326   0.94366732   0.78870738   0.83125780   0.92085551   1.16662481   1.06776693   1.02707040   1.24762155   0.95148916   1.27345002   1.13126110   1.25799744   1.22418589   1.12123198   0.91823738   0.78363870   0.31875108   0.32076232   0.28304113   0.03784625   0.03913805   0.04033648   0.04033648   0.03784625   0.03913805   0.04033648   0.04033648   0.04085790   0.04033648   0.04008948   0.03960853   0.05947794   0.06298765   0.00217470   0.00970440   0.03713743   0.01859707   0.02693735   0.00699850   0.00744536   0.11696155   0.07181517   0.09603115
 5.00  2300.  0.0  2.0   0.97407091   0.98580352   0.92394301   0.86811459   0.96603024   0.93283763   0.79950166   0.82791736   0.91479021   1.16950675   1.08228402   1.05466139   1.38612817   1.01353697   1.22590881   1.05972848   1.27989024   1.21909181   1.09145758   0.87908647   0.77469717   0.32782047   0.33829206   0.30633496   0.02831086   0.02916391   0.02957845   0.03121192   0.02831086   0.02957845   0.03121192   0.03121192   0.03121192   0.03066024   0.03048774   0.02916391   0.04048159   0.05732968   0.00188153   0.01034489   0.01123367   0.00746864   0.01185406   0.00340196   0.00668137   0.11550136   0.07500628   0.08145205
 5.50  2300.  0.0  2.0   0.95836686   0.96599949   0.91322788   0.85983272   0.95126413   0.91299467   0.78516610   0.81604331   0.89091278   1.18357679   1.10883176   1.03911999   1.35080558   1.05471074   1.08139429   0.88381342   1.10199518   1.09995665   0.90993544   0.75633258   0.72971225   0.30338772   0.35130717   0.35207783   0.02112467   0.02161031   0.02193095   0.02366003   0.02144881   0.02240325   0.02366003   0.02366003   0.02366003   0.02340731   0.02286791   0.02161031   0.00706172   0.01880450   0.01717356   0.05986874   0.00373995   0.00846632   0.06926837   0.01344085   0.00159961   0.11823294   0.07683794   0.05730995
 6.00  2300.  0.0  2.0   0.95417293   0.95854043   0.92178136   0.87628199   0.95608709   0.91657074   0.79194971   0.80834458   0.89777234   1.17248709   1.09810864   0.95495822   1.12004929   1.06871386   1.06834885   0.83453318   0.93140122   1.06088585   0.90438018   0.74564891   0.70327466   0.31552714   0.37696174   0.41843457   0.01641645   0.01653595   0.01677169   0.01723917   0.01641645   0.01677169   0.01832396   0.01832396   0.01832396   0.01792641   0.01723917   0.01641645   0.00757569   0.00187061   0.02718088   0.05899974   0.00905375   0.01882904   0.06634072   0.00876163   0.00513631   0.09973294   0.06458154   0.02068414
 0.00  2400.  0.0  2.0   0.92641836   0.88248793   0.97019782   0.97473971   0.82380413   0.94375040   0.94071854   0.95987583   1.03071472   1.20885054   1.10164965   0.91805258   1.50395201   1.80480740   1.56575970   1.43342874   1.53549507   1.68764663   1.36150961   1.10362902   0.96384019   0.47129155   0.57753809   0.58761704   0.32966206   0.41337253   0.33289206   0.30125443   0.41337253   0.35943292   0.30125443   0.30125443   0.30125443   0.34561212   0.32966206   0.32966206   0.09865114   0.00210710   0.00191494   0.00085675   0.00272591   0.01652939   0.00167520   0.00160909   0.01269503   0.25621994   0.15422127   0.03444263
 0.50  2400.  0.0  2.0   0.98717499   1.01867255   0.96529749   0.96522598   1.03257994   0.95889295   0.93359530   0.95883373   1.01943396   1.11691443   0.97821627   0.84569856   1.00922741   1.27997535   1.50275467   1.47564605   1.01552989   1.50236073   1.34644805   1.10679917   0.94567868   0.43092923   0.70214831   0.66815056   0.26250036   0.25359027   0.28994398   0.24533944   0.26023036   0.30451823   0.24340944   0.24340944   0.24533944   0.28117567   0.26719513   0.26719513   0.01675492   0.01421093   0.00139850   0.00082964   0.02515217   0.00326229   0.00683680   0.00111590   0.00797968   0.14327031   0.01690658   0.00749536
 1.00  2400.  0.0  2.0   0.97390992   1.00388412   1.00424074   0.94800303   1.01083851   1.01523210   0.90985773   0.93158415   0.99279337   1.04148601   0.89942906   0.83977083   1.03961590   1.27234693   1.55129612   1.55601027   1.06340366   1.52565066   1.38420431   1.18872414   1.01528267   0.46075595   0.74311631   0.62868156   0.21353286   0.21353286   0.20187779   0.20187779   0.21353286   0.19889111   0.20187779   0.20187779   0.20187779   0.22931950   0.22080464   0.21530286   0.01315393   0.00582276   0.00215348   0.00620133   0.02410678   0.00929545   0.01915470   0.00316022   0.00289005   0.06040134   0.00321941   0.02916365
 1.50  2400.  0.0  2.0   0.95262197   0.99273054   1.00571484   0.95989042   0.98926369   1.00510842   0.91770346   0.93610175   0.98450634   0.97903641   0.82116086   0.73091659   1.10473855   1.27646051   1.45125970   1.43024445   1.11597016   1.45529290   1.35226341   1.10539715   0.95161598   0.48000195   0.70267661   0.59676515   0.16606610   0.16335914   0.15571280   0.15571280   0.16335914   0.15571280   0.15571280   0.15571280   0.15571280   0.17490590   0.17021301   0.16882301   0.00942346   0.00174759   0.00154525   0.00057109   0.00942451   0.00110097   0.00966029   0.00070407   0.00214306   0.02591578   0.01002111   0.01535946
 2.00  2400.  0.0  2.0   0.97498517   1.00138362   0.98912791   1.00123571   0.99797588   0.99535923   0.99616554   1.00412954   1.05820473   0.94413316   0.89631722   0.81410087   0.87442663   0.93190457   1.08690142   0.96121272   0.87460580   1.05803089   0.92918629   0.75403255   0.62470474   0.34844056   0.32598546   0.28392749   0.15198329   0.15635174   0.14559406   0.13622956   0.15198329   0.14805127   0.13183451   0.13183451   0.13290451   0.15635174   0.14930627   0.14805127   0.01439760   0.01384587   0.00101286   0.00278343   0.01456314   0.00344286   0.00099896   0.00277890   0.01607220   0.06373611   0.05140609   0.04946609
 2.50  2400.  0.0  2.0   0.98504542   1.01141687   1.00212189   1.01454937   0.99763864   1.00727495   0.99428160   1.00840407   1.07349376   0.94399178   0.88125005   0.79242211   0.77126982   0.80910881   1.00842159   0.91451442   0.76668068   0.93992165   0.91400138   0.71426198   0.57312783   0.30696691   0.29243550   0.26101085   0.12475358   0.12927854   0.12069809   0.11031366   0.12811354   0.12371858   0.11031366   0.11031366   0.11031366   0.12927854   0.12475358   0.12371858   0.01188876   0.01833353   0.00141445   0.00255185   0.01474106   0.00692975   0.00175581   0.00297968   0.01444803   0.07648234   0.05426943   0.04745185
 3.00  2400.  0.0  2.0   0.98753768   1.04933704   1.02217745   0.99615629   1.02177171   1.03521969   0.96747633   0.98480880   1.03387446   0.98390768   0.88068442   0.85508568   0.75407620   0.73848037   1.02663019   1.00096309   0.72628649   0.91539491   1.01126884   0.76476670   0.62556616   0.28981630   0.29642451   0.24472441   0.09108503   0.08749873   0.08277527   0.08407782   0.09036003   0.08277527   0.08277527   0.08277527   0.08407782   0.09498875   0.09336312   0.09108503   0.01516649   0.01075010   0.00227907   0.00477971   0.01270816   0.00563002   0.00143746   0.00240252   0.01014876   0.08812699   0.05871443   0.06291127
 3.50  2400.  0.0  2.0   0.99324592   1.04031547   1.01327058   0.97120111   1.02883229   1.02849889   0.92785917   0.94803353   1.00190443   1.04601616   0.98815376   0.91174837   0.80442264   0.75527709   1.11703633   1.10194952   0.78286717   0.97237445   1.12155083   0.83637535   0.69044353   0.28268643   0.27530343   0.24317636   0.06849106   0.06957335   0.06640841   0.06640841   0.06640841   0.06640841   0.06640841   0.06640841   0.06640841   0.07238883   0.07012035   0.06957335   0.02028316   0.02086900   0.00956581   0.00519964   0.01986367   0.01203218   0.00056785   0.00454449   0.01153620   0.10684466   0.06964999   0.07412572
 4.00  2400.  0.0  2.0   0.99564729   1.03226513   0.98644013   0.92974690   1.01930735   1.01270211   0.88183195   0.90389392   0.97288931   1.11288662   1.03645235   0.95907647   0.92304020   0.80898658   1.25858918   1.19579682   0.93007149   1.06852713   1.20868326   0.90629198   0.74719583   0.28306294   0.28238252   0.25041779   0.04942598   0.05087434   0.05087434   0.05087434   0.04942598   0.05087434   0.05087434   0.05087434   0.05087434   0.05322119   0.05163398   0.05163398   0.03066729   0.03132673   0.02425379   0.00542531   0.03530896   0.02318886   0.00628678   0.00449202   0.01587756   0.13079159   0.07793261   0.09841072
 4.50  2400.  0.0  2.0   0.99422040   1.01764043   0.92833792   0.88478213   1.00420406   0.97983440   0.84235739   0.87308591   0.95764488   1.16690117   1.06006265   1.00933146   1.08962395   0.86080271   1.39484558   1.23328266   1.11320371   1.18990601   1.24288486   0.92760913   0.77473998   0.28794532   0.29826352   0.25968098   0.03771639   0.04166016   0.04021062   0.04021062   0.03771639   0.04021062   0.04021062   0.04021062   0.04021062   0.04077399   0.04021062   0.03966523   0.03861560   0.04106483   0.01343344   0.00670656   0.03011050   0.03549357   0.01544416   0.00219387   0.01330382   0.13933229   0.08008638   0.09808193
 5.00  2400.  0.0  2.0   0.98785446   1.00575437   0.93148663   0.87880629   0.98659668   0.96139013   0.83106639   0.86672033   0.94870037   1.19324137   1.09171231   1.04112084   1.26760298   0.92680967   1.29770323   1.14454366   1.25244959   1.21395024   1.18583605   0.88924704   0.75748641   0.29704530   0.31152708   0.28126550   0.02873366   0.02950782   0.03059610   0.03059610   0.02873366   0.02950782   0.03059610   0.03059610   0.03098716   0.03059610   0.03003993   0.02968832   0.03682028   0.04866079   0.00379719   0.00653820   0.01369347   0.02859226   0.01783341   0.00506807   0.01407046   0.14237727   0.08241371   0.10018111
 5.50  2400.  0.0  2.0   0.97357028   0.98991480   0.94067733   0.89042477   0.96133657   0.95153251   0.84234011   0.86629622   0.94004150   1.18957578   1.10800990   1.03252480   1.38227479   1.00800102   1.19468540   1.03269705   1.20996405   1.17086151   1.08406204   0.82827693   0.72771504   0.30615495   0.32702435   0.31726210   0.02156236   0.02235581   0.02235581   0.02359810   0.02156236   0.02251231   0.02359810   0.02359810   0.02359810   0.02332940   0.02307068   0.02235581   0.00991965   0.03244939   0.00110753   0.01846105   0.00163233   0.00590201   0.01631537   0.00188463   0.01002026   0.13057408   0.09066907   0.07108059
