 0.00  2300.  0.0  2.0   0.98324883   0.93397850   0.87044487   0.98714863   0.94387052   1.25479364   1.51393240   1.16701193   1.09610809   0.89201685   0.32096723   0.37110954   0.30300530   0.30300530   0.33262892   0.01904142   0.01092352   0.01871257   0.00326712   0.01079469
 0.50  2300.  0.0  2.0   1.00210296   1.00564744   0.83712825   0.96153691   1.03390173   1.05970634   1.51503899   1.18487383   1.15023328   0.81864099   0.25990324   0.24973742   0.24973742   0.24973742   0.25366793   0.03446577   0.00433885   0.00882430   0.00048602   0.00767279
 1.00  2300.  0.0  2.0   0.99066953   0.98919070   0.80886684   0.93240254   0.98651866   1.11322641   1.58330677   1.11591189   1.22819751   0.89538941   0.20839378   0.20839378   0.20530730   0.20839378   0.21163509   0.03199107   0.00066784   0.02773186   0.00166693   0.00259863
 1.50  2300.  0.0  2.0   0.98848846   1.00126439   0.83109928   0.95332553   1.01078773   1.03652935   1.37253699   1.16393930   1.08907722   0.75296151   0.15844610   0.15844610   0.15844610   0.15844610   0.16088339   0.01796187   0.00497963   0.01773547   0.00020098   0.00489616
 2.00  2300.  0.0  2.0   1.00127853   1.00828782   0.91062343   0.99768983   1.06674640   0.83506460   1.03283950   0.96601782   0.79442529   0.55081034   0.14661793   0.14075578   0.13413314   0.13413314   0.13627077   0.02086210   0.00385090   0.00151274   0.00156536   0.01800646
 2.50  2300.  0.0  2.0   1.00975557   1.02487382   0.89495023   0.99073180   1.05936811   0.75811004   0.94600776   0.95262215   0.76251263   0.52378293   0.11906990   0.11258113   0.11258113   0.11258113   0.11346613   0.01563464   0.00449689   0.00132456   0.00359961   0.01541486
 3.00  2300.  0.0  2.0   1.01699716   1.01894314   0.86395495   0.97242001   1.02827067   0.76026289   0.97931098   1.00655007   0.80936409   0.55561686   0.08462222   0.08462222   0.08462222   0.08462222   0.08592077   0.01672021   0.01676483   0.00399929   0.00616663   0.01332779
 3.50  2300.  0.0  2.0   1.00928631   0.98888662   0.79383015   0.93894134   0.99420478   0.86045920   1.04937983   1.05496977   0.86867733   0.59928903   0.06549050   0.06788727   0.06788727   0.06788727   0.06788727   0.03499821   0.01681318   0.00675757   0.00965010   0.01345994
 4.00  2300.  0.0  2.0   1.00151395   0.96344174   0.74991921   0.92815488   0.97698974   1.03335968   1.09126799   1.08247111   0.90185476   0.62859255   0.04836071   0.05158157   0.05158157   0.05158157   0.05158157   0.04158455   0.01330109   0.01518906   0.01217010   0.01358772
 4.50  2300.  0.0  2.0   0.98894400   0.93987037   0.75666119   0.92086615   0.95714493   1.21707476   1.09003676   0.99486769   0.87769563   0.64680463   0.03784625   0.04033648   0.04033648   0.04033648   0.04085790   0.04048614   0.00323026   0.03074387   0.01429762   0.01117854
